"src","tgt"
"Construction workers standing outside looking at wires above them .","Bauarbeiter , die im Freien stehen , blicken auf die Leitungen über ihnen ."
"A happy young boy sits in a chair with a large Elmo doll .","Ein glücklicher Junge sitzt mit einer großen Elmo @-@ Puppe in einem Stuhl ."
"A child is brushing an infant 's hair .","Ein Kind bürstet die Haare eines Säuglings ."
"Young man showing off by performing a karate move for surprised girl .","Ein junger Mann gibt gegenüber einem überraschten Mädchen mit einer Karate @-@ Bewegung an ."
"A man eating in a messy kitchen .","Ein Mann , der in einer unaufgeräumten Küche isst ."
"A teenage boy has a silver ring protruding from his nose .","Bei einem männlichen Teenager steht ein Ring von der Nase ab ."
"This man is smiling very big at the camera .","Dieser Mann lächelt sehr breit in die Kamera ."
"A group of young people are playing in a fountain of water .","Eine Gruppe junger Menschen spielt in einem Brunnen ."
"A woman throwing a Frisbee on a beach .","Eine Frau , die am Strand eine Frisbee @-@ Scheibe wirft ."
"The dark brown dog is playing with the light brown dog .","Der dunkelbraune und spielt mit dem hellbraunen Hund ."
"A guy wearing protective gear is welding a steel beam .","Ein Mann in Schutzausrüstung schweißt einen Stahlbalken ."
"Man in orange shorts builds a sand castle , combining multiple pictures into one resulting in four copies of him .","Ein Mann in organgefarbenen kurzen Hosen baut einen Sandburg , wobei mehrere Bilder zu einem kombiniert sind , sodass er vier Mal zu sehen ist ."
"Two men and a dog are standing among rolling green hills .","Zwei Männer und ein Hund stehen in den Rolling Green Hills ."
"A group of people walking on a street in front of an AMC building .","Eine Gruppe geht auf einer Straße vor einem AMC @-@ Gebäude entlang ."
"A white male wearing glasses is blowing a bubble in a house .","Eine weiße männliche Person mit Brille macht in einem Haus eine Seifenblase ."
"An adult shows a young child a fencing outfit which is set up on a tree .","Ein Erwachsener zeigt einem jungen Kind einen Fechtanzug , der auf einem Baum arrangiert ist ."
"A big dog catches a ball on his nose","Ein großer Hund fängt einen Ball auf seiner Nase ."
"A man and two women wearing all black act out a scene in front of a building with steps .","Ein Mann und zwei Frauen ganz in Schwarz spielen eine Szene vor einem Gebäude mit Stufen ."
"Two children wearing jeans squirt water at each other .","Zwei Kinder in Jeans spritzen Wasser aufeinander ."
"A tan colored dog is jumping into an outdoor pool .","Ein lohfarbener Hund spring in einen Pool im Freien ."
"People sitting in a circle with a book in the middle .","Mehrere Personen sitzen im Kreis mit einem Buch in der Mitte ."
"Couple , man and woman , with little girl all of them dressed in wedding apparel while standing along shoreline .","Ein Paar , ein Mann und eine Frau , mit einem kleinen Mädchen , alle in Hochzeitskleidung , wie sie an der Uferlinie stehen ."
"Lots of people walking under a awning of pink and white balloons","Viele Leute , die unter einem Vordach aus rosafarbenen und weißen Luftballons stehen ."
"A line of six children in bathing suits prepare to leap into a swimming pool .","Eine aus sechs Kindern in Badeanzügen bestehende Reihe , die bereit ist , in ein Schwimmbecken zu springen ."
"Two bakery employees wearing red aprons are preparing food .","Zwei Bäckereimitarbeiter mit roten Schürzen bereiten Essen zu ."
"A little child with a red cap and a duck are in the grass .","Ein Kleinkind mit einer roten Mütze und eine Ente sind im Gras ."
"Parents are pushing little children in red car carts .","Eltern schieben kleine Kinder in roten Auto @-@ Einkaufwagen ."
"One man in a blue shirt is operating a watering hose and another man in a brown shirt is moving tarps .","Ein Mann in einem blauen Hemd bedient einen Bewässerungsschlauch , und ein andere Mann in einem braunen Hemd bewegt Ölzeug ."
"Three boys wearing Florida Marlins hats .","Drei Jungen , die Florida @-@ Marlins @-@ Kappen tragen ."
"A family coming back from shopping and a gentlemen is reading his newspaper to the side of the street .","Eine Familie , die vom Einkaufen zurückkommt , und ein Herr , der am Straßenrand seine Zeitung liest ."
"Two women holding hands in the air while jumping .","Zwei Frauen , die sich beim Springen in der Luft an den Händen halten ."
"A woman carries a child in her arm and holds another child 's hand as they walk outside next to a building .","Eine Frau trägt ein Kind auf dem Arm und hält die Hand eines anderen Kindes , während sie neben einem Gebäuden entlanggehen ."
"A dog walks through a field .","Ein Hund läuft durch ein Feld ."
"A busy street with lots of people standing around talking and two are holding bikes .","Eine belebte Straße , wo viele Menschen herumstehen und sprechen und zwei Fahrräder halten ."
"Colored woman rolling a bowling ball down an alley .","Eine farbige Frau , die eine Bowlingkugel auf eine Bahn rollt ."
"A soccer player in a red uniform goes after the ball , fending off a player in white .","Ein Fußballspieler in einem roten Dress rennt dem Ball nach und wehrt einen Spieler in Weiß ab ."
